Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
44193.00,EQ,3640.00,3673.90,3581.10,3625.60,3645.00,3640.75,3639.54,3698.50,1210.00,165151.00,601074446.10,20851.00
44189.00,EQ,3674.95,3674.95,3601.00,3674.95,3634.00,3625.60,3622.67,3698.50,1210.00,239343.00,867061103.50,34554.00
44188.00,EQ,3575.00,3698.50,3553.00,3573.00,3669.75,3674.95,3645.90,3698.50,1210.00,909379.00,3315506628.70,71614.00
44187.00,EQ,3397.00,3618.00,3318.10,3395.45,3573.00,3573.00,3503.65,3618.00,1210.00,867964.00,3041041288.00,74684.00
44186.00,EQ,3370.00,3449.00,3280.00,3356.40,3350.00,3395.45,3401.34,3512.70,1210.00,753013.00,2561252213.55,43521.00
44183.00,EQ,3325.00,3400.00,3316.15,3306.00,3348.00,3356.40,3361.10,3512.70,1210.00,722305.00,2427739410.00,47251.00
44182.00,EQ,3305.00,3319.00,3288.20,3288.95,3295.05,3306.00,3306.23,3512.70,1210.00,282060.00,932554515.40,18087.00
44181.00,EQ,3265.50,3315.00,3265.05,3263.15,3294.00,3288.95,3293.01,3512.70,1210.00,364862.00,1201493980.70,44020.00
44180.00,EQ,3235.00,3273.95,3217.55,3234.95,3255.10,3263.15,3241.96,3512.70,1210.00,220098.00,713548951.75,30777.00
44179.00,EQ,3289.00,3319.00,3211.10,3268.65,3234.60,3234.95,3267.04,3512.70,1210.00,264171.00,863058075.25,34256.00
44176.00,EQ,3278.75,3295.00,3241.90,3251.40,3265.00,3268.65,3264.55,3512.70,1210.00,215585.00,703789084.40,16650.00
44175.00,EQ,3270.00,3295.00,3216.70,3265.85,3258.95,3251.40,3246.87,3512.70,1210.00,117946.00,382954888.10,11492.00
44174.00,EQ,3270.10,3319.90,3255.40,3261.45,3258.00,3265.85,3279.57,3512.70,1210.00,142608.00,467692506.15,13688.00
44173.00,EQ,3300.00,3329.00,3235.00,3270.95,3263.80,3261.45,3274.93,3512.70,1210.00,334352.00,1094979156.15,58044.00
44172.00,EQ,3250.75,3339.00,3235.00,3265.15,3259.00,3270.95,3280.07,3512.70,1210.00,322749.00,1058640279.75,37541.00
44169.00,EQ,3320.00,3330.00,3256.80,3300.65,3267.50,3265.15,3276.84,3512.70,1210.00,251735.00,824895685.95,28057.00
44168.00,EQ,3400.00,3400.00,3280.00,3393.75,3300.00,3300.65,3346.61,3512.70,1210.00,358686.00,1200382109.90,49476.00
44167.00,EQ,3347.00,3401.00,3230.00,3353.45,3382.05,3393.75,3327.96,3512.70,1210.00,577260.00,1921097802.20,63854.00
44166.00,EQ,3271.25,3471.35,3202.05,3200.45,3353.00,3353.45,3354.36,3512.70,1210.00,865205.00,2902206418.90,75634.00
